EventID,MovieName,EventDescription,StartTime,EndTime,StartTime(s),EndTime(s),Duration(s),start_point,end_point,Text_length,Aligned,EventType,Normalised Video Clip Index,Normalised Plot Sentence Index
1,500 Days of Summer(2009),Tom Hansen is an aspiring architect who works as a writer at a greeting card company.,0:11:51,0:12:25,711,745,34,0,85,85,Fail,stative_event,0.11251175917215428,0.0
2,500 Days of Summer(2009),"On January 8, he meets Summer Finn, a new employee.",0:01:53,0:01:55,113,115,2,86,136,50,Fail,process,0.0,0.022102287329735286
3,500 Days of Summer(2009),They discover that they have a similar taste in music.,0:10:07,0:10:40,607,640,33,138,192,54,Success,process,0.0929444967074318,0.035466461063993836
4,500 Days of Summer(2009),"Later, at a karaoke night for their work, they talk about love.",0:20:10,0:21:03,1210,1263,53,193,256,63,Fail,process,0.20639698965192851,0.04960164482138268
5,500 Days of Summer(2009),"Tom believes in it,",0:20:15,0:20:38,1215,1238,23,257,276,19,Fail,stative_event,0.20733772342427093,0.06604985864816243
6,500 Days of Summer(2009),but Summer does not.,0:20:39,0:20:56,1239,1256,17,277,297,20,Fail,stative_event,0.21185324553151458,0.07118992546903109
7,500 Days of Summer(2009),"Tom's friend and co-worker McKenzie drunkenly reveals that Tom likes Summer,",0:22:47,0:22:52,1367,1372,5,298,373,75,Fail,process,0.23593603010348074,0.0765869956309432
8,500 Days of Summer(2009),"which he asserts is only ""as friends"",",0:23:15,0:23:33,1395,1413,18,375,413,38,Fail,process,0.2412041392285983,0.0963762528912876
9,500 Days of Summer(2009),something Summer agrees with.,0:23:56,0:24:00,1436,1440,4,414,443,29,Fail,process,0.24891815616180624,0.1063993831919815
10,500 Days of Summer(2009),"A few days later, Summer spontaneously kisses Tom in the office.",0:25:08,0:25:30,1508,1530,22,444,509,65,Success,process,0.26246472248353714,0.1141094834232845
11,500 Days of Summer(2009),"They later go to IKEA together,",0:27:02,0:30:39,1622,1839,217,509,540,31,Success,process,0.28391345249294453,0.1308147005911077
