EventID,MovieName,EventDescription,StartTime,EndTime,StartTime(s),EndTime(s),Duration(s),start_point,end_point,Text_length,Aligned,EventType
1,500 Days of Summer(2009),Tom Hansen is an aspiring architect who works as a writer at a greeting card company.,0:11:51,0:12:25,711,745,34,0,85,85,Fail,stative_event
2,500 Days of Summer(2009),"On January 8, he meets Summer Finn, a new employee.",0:01:53,0:01:55,113,115,2,86,136,50,Fail,process
3,500 Days of Summer(2009),They discover that they have a similar taste in music.,0:10:07,0:10:40,607,640,33,138,192,54,Success,process
4,500 Days of Summer(2009),"Later, at a karaoke night for their work, they talk about love.",0:20:10,0:21:03,1210,1263,53,193,256,63,Fail,process
5,500 Days of Summer(2009),"Tom believes in it,",0:20:15,0:20:38,1215,1238,23,257,276,19,Fail,stative_event
6,500 Days of Summer(2009),but Summer does not.,0:20:39,0:20:56,1239,1256,17,277,297,20,Fail,stative_event
7,500 Days of Summer(2009),"Tom's friend and co-worker McKenzie drunkenly reveals that Tom likes Summer,",0:22:47,0:22:52,1367,1372,5,298,373,75,Fail,process
8,500 Days of Summer(2009),"which he asserts is only ""as friends"",",0:23:15,0:23:33,1395,1413,18,375,413,38,Fail,process
9,500 Days of Summer(2009),something Summer agrees with.,0:23:56,0:24:00,1436,1440,4,414,443,29,Fail,process
10,500 Days of Summer(2009),"A few days later, Summer spontaneously kisses Tom in the office.",0:25:08,0:25:30,1508,1530,22,444,509,65,Success,process
11,500 Days of Summer(2009),"They later go to IKEA together,",0:27:02,0:30:39,1622,1839,217,509,540,31,Success,process
12,500 Days of Summer(2009),and Summer tells Tom she is not looking for a serious relationship;,0:29:41,0:29:51,1781,1791,10,541,608,67,Fail,process
13,500 Days of Summer(2009),Tom agrees to a casual relationship.,0:29:54,0:30:13,1794,1813,19,609,645,36,Fail,process
14,500 Days of Summer(2009),That night they have sex;,0:30:41,0:31:33,1841,1893,52,646,671,25,Success,process
15,500 Days of Summer(2009),Tom is elated.,0:31:35,0:33:27,1895,2007,112,672,686,14,Success,stative_event
