ExtractionType,EventDescription,Start,End,Duration(s),Text_length,Aligned,EventType
Manually Extracted Event,Tom Hansen is an aspiring architect who works as a writer at a greeting card company.,0:11:51,0:12:25,34,85,Fail,stative_event
Manually Extracted Event,"On January 8, he meets Summer Finn, a new employee.",0:01:53,0:01:55,2,50,Fail,process
Manually Extracted Event,They discover that they have a similar taste in music.,0:10:07,0:10:40,33,54,Success,process
Manually Extracted Event,"Later, at a karaoke night for their work, they talk about love.",0:20:10,0:21:03,53,63,Fail,process
Manually Extracted Event,"Tom believes in it,",0:20:15,0:20:38,23,19,Fail,stative_event
Manually Extracted Event,but Summer does not.,0:20:39,0:20:56,17,20,Fail,stative_event
Manually Extracted Event,"Tom's friend and co-worker McKenzie drunkenly reveals that Tom likes Summer,",0:22:47,0:22:52,5,75,Fail,process
Manually Extracted Event,"which he asserts is only ""as friends"",",0:23:15,0:23:33,18,38,Fail,process
Manually Extracted Event,something Summer agrees with.,0:23:56,0:24:00,4,29,Fail,process
Manually Extracted Event,"A few days later, Summer spontaneously kisses Tom in the office.",0:25:08,0:25:30,22,65,Success,process
Manually Extracted Event,"They later go to IKEA together,",0:27:02,0:30:39,217,31,Success,process
Manually Extracted Event,and Summer tells Tom she is not looking for a serious relationship;,0:29:41,0:29:51,10,67,Fail,process
Manually Extracted Event,Tom agrees to a casual relationship.,0:29:54,0:30:13,19,36,Fail,process
Manually Extracted Event,That night they have sex;,0:30:41,0:31:33,52,25,Success,process
Manually Extracted Event,Tom is elated.,0:31:35,0:33:27,112,14,Success,stative_event
Manually Extracted Event,"After several months of dating, they grow closer.",0:34:30,0:40:34,364,49,Success,change_of_state
Manually Extracted Event,"Both Tom's friends and his preteen half-sister Rachel push him to ask Summer where they are in their relationship,",0:40:35,0:42:26,111,114,Success,process
Manually Extracted Event,"though Summer brushes this off, saying that it should not matter if they are both happy.",0:42:50,0:43:13,23,88,Fail,process
Manually Extracted Event,"One night, Tom gets into a fight with a man who tries to pick Summer up in a bar,",0:44:18,0:45:24,66,81,Success,process
Manually Extracted Event,causing their first argument.,0:45:26,0:47:13,107,29,Success,process
Manually Extracted Event,"Later, Summer visits Tom;",0:48:01,0:48:33,32,25,Success,process
Manually Extracted Event,they make up.,0:48:34,0:49:42,68,13,Success,change_of_state
Manually Extracted Event,"Tom asks about their relationship, wanting consistency.",0:48:47,0:49:04,17,55,Fail,process
Manually Extracted Event,Summer says she cannot promise him how she would feel in the future.,0:49:12,0:49:15,3,68,Fail,process
Manually Extracted Event,"To show him how she currently feels, she kisses him;",0:49:20,0:49:33,13,52,Success,process
Manually Extracted Event,they spend the night together.,0:49:37,0:49:42,5,30,Success,process
Manually Extracted Event,"After meeting at a café, Tom wants to go back to Summer's,",1:16:48,1:16:55,7,58,Fail,process
Manually Extracted Event,but she insists on seeing The Graduate.,1:16:49,1:17:00,11,39,Fail,process
Manually Extracted Event,"She weeps at the ending, surprising him, as he had always thought it was a romantic fairy tale.",1:17:08,1:17:42,34,95,Success,process
Manually Extracted Event,"Later, at the record store, Summer is distracted,",1:17:48,1:18:11,23,49,Success,stative_event
Manually Extracted Event,and kisses him good night on the cheek.,1:18:46,1:18:49,3,39,Success,process
Manually Extracted Event,"Tom brings her to a diner, where she lightly announces the relationship is not working, and breaks up with him.",0:05:23,0:06:28,65,111,Fail,process
Manually Extracted Event,"Although she still considers Tom her best friend,",0:06:30,0:06:34,4,49,Fail,process
Manually Extracted Event,he is horrified,0:00:00,0:00:00,0,15,Fail,stative_event
Manually Extracted Event,and becomes depressed.,0:53:16,0:54:25,69,22,Success,change_of_state
Manually Extracted Event,Summer quits the greeting card company.,0:55:14,0:55:19,5,39,Fail,change_of_state
Manually Extracted Event,"Tom's boss moves him to the consolations department, as his depression is making him unsuitable for happier events.",0:55:39,0:56:34,55,115,Success,change_of_state
Manually Extracted Event,Tom goes on a blind date with a woman named Alison.,0:58:09,0:58:24,15,51,Fail,process
Manually Extracted Event,Tom spends the date talking about Summer until Alison leaves exasperated.,0:58:39,1:00:21,102,73,Success,process
Manually Extracted Event,"Months later, Tom attends co-worker Millie's wedding",1:03:18,1:06:03,165,52,Success,process
Manually Extracted Event,"and tries to avoid Summer on the train,",1:01:19,1:01:28,9,39,Success,non_event
Manually Extracted Event,but she spots him,1:01:30,1:02:25,55,17,Success,process
Manually Extracted Event,and invites him for coffee.,1:02:26,1:03:16,50,27,Success,process
Manually Extracted Event,"They have a good time at the wedding,",1:03:18,1:06:03,165,37,Success,process
Manually Extracted Event,"dance together,",1:05:18,1:05:58,40,15,Success,process
Manually Extracted Event,and Summer catches the bouquet.,1:05:00,1:05:06,6,31,Success,process
Manually Extracted Event,"She invites Tom to a party at her apartment,",1:05:33,1:05:42,9,44,Fail,process
Manually Extracted Event,falling asleep on his shoulder on the ride back.,1:06:14,1:06:22,8,48,Success,change_of_state
Manually Extracted Event,"He attends the party, hoping to rekindle their relationship,",1:07:37,1:10:03,146,60,Success,process
Manually Extracted Event,"but barely interacts with Summer, spending most of the night drinking alone,",1:08:58,1:09:54,56,76,Success,process
Manually Extracted Event,until he spots her engagement ring.,1:09:55,1:10:05,10,35,Success,process
Manually Extracted Event,Tom leaves devastated.,1:10:06,1:10:49,43,22,Success,process
Manually Extracted Event,"Further depressed, he only leaves his apartment for alcohol and junk food.",1:11:13,1:11:23,10,74,Success,process
Manually Extracted Event,"After a few days, he returns to work hung over and,",1:11:46,1:12:08,22,46,Success,process
Manually Extracted Event,"after an emotional outburst,",1:13:01,1:14:43,102,33,Fail,change_of_state
Manually Extracted Event,quits.,1:14:45,1:14:59,14,6,Success,change_of_state
Manually Extracted Event,Rachel tells Tom that she does not believe Summer was "the one",1:15:56,1:16:01,5,63,Fail,process
Manually Extracted Event,and that he is only remembering happy memories of the relationship.,1:16:03,1:16:11,8,67,Fail,process
Manually Extracted Event,"Tom thinks harder,",1:16:16,1:18:58,162,18,Success,process
Manually Extracted Event,"finally seeing moments of incompatibilities he overlooked, and warning signs he missed on the day of the breakup.",1:16:35,1:18:49,134,113,Success,process
Manually Extracted Event,"One day, Tom finds the energy to get out of bed and rededicates himself to architecture,",1:19:05,1:20:53,108,88,Success,change_of_state
Manually Extracted Event,as Summer had encouraged him to do.,0:00:00,0:00:00,0,35,Fail,process
Manually Extracted Event,He assembles a portfolio,1:20:14,1:20:50,36,24,Success,process
Manually Extracted Event,and secures job interviews.,1:19:51,1:20:10,19,27,Success,process
Manually Extracted Event,Summer visits Tom at his favorite spot in the city.,1:21:49,1:22:08,19,51,Success,process
Manually Extracted Event,"He tells her he left the office,",1:22:55,1:22:59,4,32,Fail,process
Manually Extracted Event,"and notes that she got married,",1:23:05,1:23:08,3,31,Fail,process
Manually Extracted Event,which he cannot comprehend as she never wanted to be someone's girlfriend.,1:23:47,1:23:59,12,74,Fail,process
Manually Extracted Event,"Summer says she got married because she felt sure, which she did not with Tom.",1:24:08,1:24:18,10,78,Fail,process
Manually Extracted Event,"When he says he was wrong about true love existing,",1:24:33,1:24:48,15,51,Fail,process
Manually Extracted Event,"she counters that he was right about it, just wrong about it being with her.",1:24:52,1:26:09,77,76,Fail,process
Manually Extracted Event,She tells him she is glad he is doing well.,1:26:32,1:26:35,3,43,Fail,process
Manually Extracted Event,Tom wishes her happiness.,1:26:43,1:26:48,5,25,Fail,process
Manually Extracted Event,"On Wednesday, May 23, Tom meets a woman applying for the same job.",1:27:39,1:30:23,164,66,Success,process
Manually Extracted Event,He finds she shares his favorite spot,1:28:40,1:28:48,8,37,Fail,process
Manually Extracted Event,and invites her for coffee afterwards.,1:29:42,1:29:52,10,38,Fail,process
Manually Extracted Event,"She politely declines,",1:29:53,1:29:59,6,22,Fail,process
Manually Extracted Event,then changes her mind.,1:30:09,1:30:13,4,22,Fail,change_of_state
